"","Estimate","Std. Error","t value"
"(Intercept)",-0.586,0.081,-7.25
"scrambled",-0.047,0.114,-0.41
"outline",0.04,0.114,0.347
"target_positionbottom_left",0.09,0.054,1.682
"target_positionbottom_right",0.148,0.054,2.754
"target_positiontop_left",0.033,0.054,0.613
"target_positiontop_right",0.01,0.053,0.194
"item_typeneutral_friendly",0.14,0.056,2.486
"item_typeneutral_threat",0.122,0.057,2.133
"item_typethreat_neutral",0.019,0.055,0.344
"scrambled:outline",-0.038,0.162,-0.235
"scrambled:target_positionbottom_left",-0.054,0.076,-0.714
"scrambled:target_positionbottom_right",-0.039,0.076,-0.518
"scrambled:target_positiontop_left",-0.003,0.076,-0.041
"scrambled:target_positiontop_right",-0.05,0.075,-0.661
"outline:target_positionbottom_left",-0.083,0.077,-1.083
"outline:target_positionbottom_right",-0.057,0.076,-0.752
"outline:target_positiontop_left",0.002,0.076,0.028
"outline:target_positiontop_right",-0.033,0.076,-0.437
"scrambled:item_typeneutral_friendly",-0.033,0.079,-0.421
"scrambled:item_typeneutral_threat",-0.011,0.079,-0.143
"scrambled:item_typethreat_neutral",-0.076,0.076,-1
"outline:item_typeneutral_friendly",-0.021,0.08,-0.269
"outline:item_typeneutral_threat",0.034,0.083,0.409
"outline:item_typethreat_neutral",0,0.076,0.006
"target_positionbottom_left:item_typeneutral_friendly",-0.101,0.08,-1.27
"target_positionbottom_right:item_typeneutral_friendly",-0.083,0.079,-1.059
"target_positiontop_left:item_typeneutral_friendly",-0.049,0.079,-0.628
"target_positiontop_right:item_typeneutral_friendly",-0.053,0.078,-0.681
"target_positionbottom_left:item_typeneutral_threat",0.032,0.08,0.398
"target_positionbottom_right:item_typeneutral_threat",-0.076,0.079,-0.955
"target_positiontop_left:item_typeneutral_threat",-0.048,0.079,-0.617
"target_positiontop_right:item_typeneutral_threat",0.007,0.08,0.082
"target_positionbottom_left:item_typethreat_neutral",-0.037,0.077,-0.485
"target_positionbottom_right:item_typethreat_neutral",-0.212,0.077,-2.753
"target_positiontop_left:item_typethreat_neutral",-0.001,0.077,-0.007
"target_positiontop_right:item_typethreat_neutral",-0.046,0.076,-0.606
"scrambled:outline:target_positionbottom_left",0.026,0.108,0.242
"scrambled:outline:target_positionbottom_right",-0.12,0.107,-1.123
"scrambled:outline:target_positiontop_left",-0.106,0.108,-0.985
"scrambled:outline:target_positiontop_right",0.02,0.106,0.192
"scrambled:outline:item_typeneutral_friendly",-0.063,0.111,-0.57
"scrambled:outline:item_typeneutral_threat",-0.119,0.114,-1.042
"scrambled:outline:item_typethreat_neutral",-0.073,0.108,-0.673
"scrambled:target_positionbottom_left:item_typeneutral_friendly",0.125,0.111,1.122
"scrambled:target_positionbottom_right:item_typeneutral_friendly",-0.086,0.11,-0.782
"scrambled:target_positiontop_left:item_typeneutral_friendly",0.011,0.11,0.101
"scrambled:target_positiontop_right:item_typeneutral_friendly",0.093,0.11,0.85
"scrambled:target_positionbottom_left:item_typeneutral_threat",-0.057,0.111,-0.516
"scrambled:target_positionbottom_right:item_typeneutral_threat",-0.081,0.11,-0.738
"scrambled:target_positiontop_left:item_typeneutral_threat",-0.03,0.109,-0.272
"scrambled:target_positiontop_right:item_typeneutral_threat",-0.023,0.11,-0.204
"scrambled:target_positionbottom_left:item_typethreat_neutral",0.106,0.108,0.981
"scrambled:target_positionbottom_right:item_typethreat_neutral",0.125,0.108,1.159
"scrambled:target_positiontop_left:item_typethreat_neutral",0.019,0.107,0.18
"scrambled:target_positiontop_right:item_typethreat_neutral",0.118,0.107,1.1
"outline:target_positionbottom_left:item_typeneutral_friendly",0.141,0.113,1.246
"outline:target_positionbottom_right:item_typeneutral_friendly",-0.05,0.111,-0.453
"outline:target_positiontop_left:item_typeneutral_friendly",0.062,0.112,0.55
"outline:target_positiontop_right:item_typeneutral_friendly",0.114,0.111,1.033
"outline:target_positionbottom_left:item_typeneutral_threat",-0.02,0.116,-0.175
"outline:target_positionbottom_right:item_typeneutral_threat",-0.018,0.114,-0.16
"outline:target_positiontop_left:item_typeneutral_threat",0.035,0.114,0.308
"outline:target_positiontop_right:item_typeneutral_threat",-0.056,0.114,-0.492
"outline:target_positionbottom_left:item_typethreat_neutral",0.081,0.108,0.752
"outline:target_positionbottom_right:item_typethreat_neutral",0.108,0.108,0.999
"outline:target_positiontop_left:item_typethreat_neutral",-0.048,0.108,-0.448
"outline:target_positiontop_right:item_typethreat_neutral",0.03,0.107,0.283
"scrambled:outline:target_positionbottom_left:item_typeneutral_friendly",-0.087,0.158,-0.553
"scrambled:outline:target_positionbottom_right:item_typeneutral_friendly",0.26,0.157,1.66
"scrambled:outline:target_positiontop_left:item_typeneutral_friendly",0.147,0.157,0.934
"scrambled:outline:target_positiontop_right:item_typeneutral_friendly",-0.113,0.155,-0.725
"scrambled:outline:target_positionbottom_left:item_typeneutral_threat",0.178,0.16,1.11
"scrambled:outline:target_positionbottom_right:item_typeneutral_threat",0.274,0.158,1.732
"scrambled:outline:target_positiontop_left:item_typeneutral_threat",0.166,0.158,1.05
"scrambled:outline:target_positiontop_right:item_typeneutral_threat",0.111,0.157,0.705
"scrambled:outline:target_positionbottom_left:item_typethreat_neutral",0.001,0.154,0.005
"scrambled:outline:target_positionbottom_right:item_typethreat_neutral",0.187,0.152,1.233
"scrambled:outline:target_positiontop_left:item_typethreat_neutral",0.211,0.152,1.384
"scrambled:outline:target_positiontop_right:item_typethreat_neutral",0.059,0.152,0.391
